,EinheitMastrNummer,DatumLetzteAktualisierung,Name,Einheitart,Einheittyp,Standort,Bruttoleistung,Erzeugungsleistung,EinheitBetriebsstatus,Anlagenbetreiber,EegMastrNummer,KwkMastrNummer,SpeMastrNummer,GenMastrNummer,BestandsanlageMastrNummer_basic,NichtVorhandenInMigriertenEinheiten,EinheitSystemstatus,NameKraftwerk,NameKraftwerksblock,DatumBaubeginn,AnzeigeEinerStilllegung,ArtDerStilllegung,DatumBeginnVorlaeufigenOderEndgueltigenStilllegung,SteigerungNettonennleistungKombibetrieb,AnlageIstImKombibetrieb,MastrNummernKombibetrieb,NetzreserveAbDatum,SicherheitsbereitschaftAbDatum,Hauptbrennstoff,WeitererHauptbrennstoff,WeitereBrennstoffe,VerknuepfteErzeugungseinheiten,BestandteilGrenzkraftwerk,NettonennleistungDeutschland,AnteiligNutzungsberechtigte,Notstromaggregat,Einsatzort,KwkMastrNummer_extended,Technologie,AusschliesslicheVerwendungImKombibetrieb,NetzbetreiberMastrNummer,Registrierungsdatum,EinheitMastrNummer_extended,DatumLetzteAktualisierung_1,LokationMastrNummer,NetzbetreiberpruefungStatus,NetzbetreiberpruefungDatum,AnlagenbetreiberMastrNummer,Land,Bundesland,Landkreis,Gemeinde,Gemeindeschluessel,Postleitzahl,Gemarkung,FlurFlurstuecknummern,Strasse,StrasseNichtGefunden,Hausnummer,HausnummerNichtGefunden,Adresszusatz,Ort,Laengengrad,Breitengrad,UtmZonenwert,UtmEast,UtmNorth,GaussKruegerHoch,GaussKruegerRechts,Meldedatum,GeplantesInbetriebnahmedatum,Inbetriebnahmedatum,DatumEndgueltigeStilllegung,DatumBeginnVoruebergehendeStilllegung,DatumBeendigungVorlaeufigenStilllegung,DatumWiederaufnahmeBetrieb,EinheitSystemstatus_1,EinheitBetriebsstatus_extended,BestandsanlageMastrNummer,NichtVorhandenInMigriertenEinheiten_extended,AltAnlagenbetreiberMastrNummer,DatumDesBetreiberwechsels,DatumRegistrierungDesBetreiberwechsels,NameStromerzeugungseinheit,Weic,WeicDisplayName,Kraftwerksnummer,Energietraeger,Bruttoleistung_extended,Nettonennleistung,AnschlussAnHoechstOderHochSpannung,Schwarzstartfaehigkeit,Inselbetriebsfaehigkeit,Einsatzverantwortlicher,FernsteuerbarkeitNb,FernsteuerbarkeitDv,FernsteuerbarkeitDr,Einspeisungsart,PraequalifiziertFuerRegelenergie,GenMastrNummer_extended,Netzbetreiberzuordnungen,Hausnummer_nv,Weic_nv,Kraftwerksnummer_nv,DatenQuelle,DatumDownload,Registrierungsdatum_1,KwkMastrNummer_kwk,Zuschlagnummer,DatumLetzteAktualisierung_kwk,Inbetriebnahmedatum_kwk,Meldedatum_kwk,ThermischeNutzleistung,ElektrischeKwkLeistung,VerknuepfteEinheiten_kwk,AnlageBetriebsstatus_kwk,AusschreibungZuschlag_kwk,Netzbetreiberzuordnungen_1,DatenQuelle_1,DatumDownload_1,Registrierungsdatum_2,GenMastrNummer_permit,DatumLetzteAktualisierung_permit,Art,Datum,Behoerde,Aktenzeichen,Frist,WasserrechtsNummer,WasserrechtAblaufdatum,Meldedatum_permit,VerknuepfteEinheiten,Frist_nv,WasserrechtAblaufdatum_nv,Netzbetreiberzuordnungen_2,DatenQuelle_2,DatumDownload_2
679,SEE926411349814,2019-05-28 08:26:38.031669,,,Verbrennung,,0.75,,In Betrieb,,,KWK916793002445,,,,0,Aktiviert,Viessmann,Brennstoffzelle,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK916793002445,Brennstoffzelle,,,2019-02-05,SEE926411349814,2019-05-28 08:26:38.031669,SEL975290794840,1,,ABR949050428283,Deutschland,Brandenburg,Märkisch-Oderland,Rüdersdorf bei Berlin,12064428,15378,,,,,,,,Hennickendorf,,,,,,,,,,2018-10-16,,,,,Aktiviert,In Betrieb,,False,,,,Keller,,,,Erdgas,0.75,0.75,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,2019-02-05,KWK916793002445,,2019-03-25 17:02:24.529016,2018-10-16,,1.0,1.0,,,,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
3775,SEE946946767556,2021-11-17 14:05:41.793554,,,Verbrennung,,800.0,,In Betrieb,,,,,,,0,Aktiviert,Notstromaggregat,,,,,,,False,,,,"Heizöl, leicht",,,,False,,,True,Bergbau,,Verbrennungsmotor,,,2019-03-06,SEE946946767556,2021-11-17 14:05:41.793554,SEL958609713671,0,2023-10-18,ABR902924479965,Deutschland,Brandenburg,Märkisch-Oderland,Rüdersdorf bei Berlin,12064428,15562,,,Essigstraße,False,3,False,,Rüdersdorf,13.805,52.473,,,,,,,,2006-07-31,,,,,Aktiviert,In Betrieb,,False,,,,EWE GASSPEICHER Rüdersdorf Notstromaggregat,,,,Mineralölprodukte,800.0,800.0,,,,,True,False,,Teileinspeisung (einschließlich Eigenverbrauch),,,,False,False,False,bulk,2024-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21150,SEE940273181177,2021-05-25 09:46:53.283624,,,Verbrennung,,5.2,,In Betrieb,,,KWK980096571168,,,,0,Aktiviert,,,,,,,,,,,,"Erdgas, Erdölgas","Erdgas, Erdölgas",,,,,,False,,KWK980096571168,Brennstoffzelle,,,2019-11-28,SEE940273181177,2021-05-25 09:46:53.283624,SEL942543006630,1,,ABR906379167347,Deutschland,Brandenburg,Märkisch-Oderland,Rüdersdorf bei Berlin,12064428,15378,,,,,,,,Herzfelde,,,,,,,,,,2018-03-13,,,,,Aktiviert,In Betrieb,,False,,,,Vaillant ecoPower 4.7,,,,Erdgas,5.2,4.7,,,,,False,,,Volleinspeisung,,,,,False,False,bulk,2024-01-08,2019-11-28,KWK980096571168,,2021-05-25 09:46:53.221125,2016-03-13,,12.5,4.7,,,False,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
23542,SEE916022795940,2020-06-25 19:21:36.719340,,,Verbrennung,,1.5,,In Betrieb,,,KWK970506247745,,,,0,Aktiviert,Brennstoffzelle,Brennstoffzelle,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK970506247745,Brennstoffzelle,,,2020-01-01,SEE916022795940,2020-06-25 19:21:36.719340,SEL924118761939,1,,ABR917238329806,Deutschland,Brandenburg,Märkisch-Oderland,Rüdersdorf bei Berlin,12064428,15562,,,,,,,,Rüdersdorf,,,,,,,,,,2019-04-24,,,,,Aktiviert,In Betrieb,,False,,,,Brennstoffzelle,,,,Erdgas,1.5,1.5,,,,,False,,,Volleinspeisung,,,,,False,False,bulk,2024-01-08,2020-01-01,KWK970506247745,,2020-06-25 19:21:36.648336,2019-04-24,,0.6,1.5,,,False,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
27085,SEE971249231107,2021-04-19 06:13:43.679772,,,Verbrennung,,140.0,,In Betrieb,,,KWK959521204568,,,,0,Aktiviert,BHKW - Viessmann,Block 1 von 1,,,,,,False,,,,"Erdgas, Erdölgas",,,,False,,nein,False,,KWK959521204568,Verbrennungsmotor,,,2020-02-27,SEE971249231107,2021-04-19 06:13:43.679772,SEL984294230742,0,2023-10-18,ABR940789495836,Deutschland,Brandenburg,Märkisch-Oderland,Rüdersdorf bei Berlin,12064428,15562,Rüdersdorf,Flur: 50 und Flurstück: 92f,,False,,False,,Rüdersdorf,13.7777,52.4841,,,,,,,,2015-07-29,,,,,Aktiviert,In Betrieb,,False,,,,BHKW PZ Rüdersdorf (381980),,,,Erdgas,140.0,140.0,,,,,True,False,,Teileinspeisung (einschließlich Eigenverbrauch),,,,False,False,False,bulk,2024-01-08,2020-02-27,KWK959521204568,,2021-04-19 06:13:43.632897,2015-09-28,,209.0,140.0,,,False,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
27309,SEE954805416682,2020-02-29 16:20:13.565295,,,Verbrennung,,0.75,,In Betrieb,,,KWK957007454513,,,,0,Aktiviert,Viessmann Brennstoffzelle,Viessmann  Vitovalor PA2,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK957007454513,Brennstoffzelle,,,2020-02-29,SEE954805416682,2020-02-29 16:20:13.565295,SEL940379917618,1,,ABR944531023384,Deutschland,Brandenburg,Märkisch-Oderland,Rüdersdorf bei Berlin,12064428,15562,,,,,,,,Rüdersdorf,,,,,,,,,,2020-02-28,,,,,Aktiviert,In Betrieb,,False,,,,Brennstoffzelle KE Otto,,,,Erdgas,0.75,0.75,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,2020-02-29,KWK957007454513,,2020-02-29 16:20:13.489288,2020-02-29,,1.3,0.75,,,,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
38579,SEE939357817590,2021-06-03 13:43:48.899288,,,Verbrennung,,280.0,,In Betrieb,,,KWK999714392610,,,,0,Aktiviert,,,,,,,,False,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK999714392610,Verbrennungsmotor,,,2020-09-11,SEE939357817590,2021-06-03 13:43:48.899288,SEL931267704397,1,,ABR984765590863,Deutschland,Brandenburg,Märkisch-Oderland,Rüdersdorf bei Berlin,12064428,15562,,,Seebad,False,83,True,,Rüdersdorf,13.773696,52.454703,,,,,,,,2014-07-18,,,,,Aktiviert,In Betrieb,,False,,,,BHKW-Anlage,,,,Erdgas,280.0,280.0,,,,,False,False,,Teileinspeisung (einschließlich Eigenverbrauch),,,,False,True,False,bulk,2024-01-08,2020-09-11,KWK999714392610,,2021-06-03 13:43:48.852418,2014-07-18,,414.0,280.0,,,False,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
39066,SEE924286409503,2021-06-23 07:49:05.813601,,,Verbrennung,,35540.0,,In Betrieb,,,KWK903368349234,,SGE948441729770,,0,Aktiviert,IKW Rüdersdorf,IKW Rüdersdorf,,False,,,,False,,,,Industrieabfall,"Abfall (Hausmüll, Siedl.abf.)","Feste biogene Stoffe und Abfälle (ohne Holz),Feste biogene Stoffe,Heizöl, leicht",,False,,,False,,KWK903368349234,Kondensationsmaschine mit Entnahme,,,2020-11-30,SEE924286409503,2021-06-23 07:49:05.813601,SEL931720528447,1,,ABR969583028477,Deutschland,Brandenburg,Märkisch-Oderland,Rüdersdorf bei Berlin,12064428,15562,,,Siedlerweg,False,11,False,,Rüdersdorf,13.829107,52.488205,,,,,,,,2007-12-12,,,,,Aktiviert,In Betrieb,,False,,,,IKW Rüdersdorf,11WD8RUEDXF---15,RUED_BL_A,BNA0855,nicht biogener Abfall,35540.0,30000.0,True,,,9911809000003.0,True,False,,Teileinspeisung (einschließlich Eigenverbrauch),,SGE948441729770,,False,False,False,bulk,2024-01-08,2020-11-30,KWK903368349234,,2021-06-23 07:49:05.735473,2009-12-15,,10000.0,27890.0,,,False,,bulk,2024-01-08,2020-11-30,SGE948441729770,2020-11-30 12:05:49.418957,nach BImSchG i.V.m 17. BImSchV,2006-09-07,Landesumweltamt Brandenburg,30.098.00/05/0801A1/RO,,,,,SEE924286409503,False,False,,bulk,2024-01-08
39835,SEE904616899815,2020-09-28 09:55:05.067164,,,Verbrennung,,1.0,,In Betrieb,,,,,,,0,Aktiviert,,,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,,Stirlingmotor,,,2020-09-28,SEE904616899815,2020-09-28 09:55:05.067164,SEL990200477408,0,2021-04-21,ABR974789079918,Deutschland,Brandenburg,Märkisch-Oderland,Rüdersdorf bei Berlin,12064428,15378,,,,,,,,Herzfelde,,,,,,,,,,2012-05-09,,,,,Aktiviert,In Betrieb,,False,,,,ABR974789079918,,,,Erdgas,1.0,1.0,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51152,SEE970838989665,2022-01-04 17:41:31.792414,,,Verbrennung,,4.7,,In Betrieb,,,KWK914602236258,,,,0,Aktiviert,,,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK914602236258,Verbrennungsmotor,,,2020-12-21,SEE970838989665,2022-01-04 17:41:31.792414,SEL924968283773,1,,ABR933269033840,Deutschland,Brandenburg,Märkisch-Oderland,Rüdersdorf bei Berlin,12064428,15562,,,,,,,,Rüdersdorf,,,,,,,,,,2015-04-01,,,,,Aktiviert,In Betrieb,,False,,,,BHKW Keller,,,,Erdgas,4.7,4.7,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,2020-12-21,KWK914602236258,,2022-01-04 17:41:31.761159,2015-04-01,,4.7,12.5,,,False,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
56902,SEE956971820577,2021-01-25 08:26:12.499820,,,Verbrennung,,1560.0,,In Betrieb,,,KWK920431343975,,,,0,Aktiviert,,,,,,,,False,,,,"Erdgas, Erdölgas",,,,False,,,False,,KWK920431343975,Verbrennungsmotor,,,2021-01-25,SEE956971820577,2021-01-25 08:26:12.499820,SEL961304743195,1,,ABR945311514931,Deutschland,Brandenburg,Märkisch-Oderland,Rüdersdorf bei Berlin,12064428,15562,,,Tasdorf Süd,False,15,False,,Rüdersdorf,13.781914,52.491921,,,,,,,,2014-04-25,,,,,Aktiviert,In Betrieb,,False,,,,Standort,,,,Erdgas,1560.0,1536.6,False,,,,True,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,False,False,False,bulk,2024-01-08,2021-01-25,KWK920431343975,,2021-01-25 08:26:12.359190,2014-04-25,,1579.0,1560.0,,,False,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
69523,SEE998419121747,2021-06-28 16:15:52.002597,,,Verbrennung,,20.0,,In Betrieb,,,KWK978101431101,,,,0,Aktiviert,,,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK978101431101,Verbrennungsmotor,,,2021-06-28,SEE998419121747,2021-06-28 16:15:52.002597,SEL922431427433,0,2023-10-18,ABR948415910210,Deutschland,Brandenburg,Märkisch-Oderland,Rüdersdorf bei Berlin,12064428,15378,,,,,,,,Hennickendorf,,,,,,,,,,2021-06-01,,,,,Aktiviert,In Betrieb,,False,,,,"BHKW Hennickendorf, Berliner Str. 36",,,,Erdgas,20.0,20.0,,,,,False,,,Volleinspeisung,,,,,False,False,bulk,2024-01-08,2021-06-28,KWK978101431101,,2021-06-28 16:15:51.924479,2021-06-01,,47.8,20.0,,,False,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
79311,SEE914740967458,2022-10-28 15:01:24.994125,,,Verbrennung,,0.75,,In Betrieb,,,KWK958517133639,,,,0,Aktiviert,,,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK958517133639,Brennstoffzelle,,,2022-10-28,SEE914740967458,2022-10-28 15:01:24.994125,SEL999759396871,0,2022-10-28,ABR971269698768,Deutschland,Brandenburg,Märkisch-Oderland,Rüdersdorf bei Berlin,12064428,15378,,,,,,,,Hennickendorf,,,,,,,,,,2022-05-09,,,,,Aktiviert,In Betrieb,,False,,,,Brennstoffzelle,,,,Erdgas,0.75,0.75,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,2022-10-28,KWK958517133639,,2022-10-28 15:01:24.884749,2022-05-09,,1170.0,764.0,,,False,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
